trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,trial.stopped,wait.started,wait.stopped,triggerrrs.started,thermode_locali_pic.started,discrimin_resp.started,percu_or.started,responser.started,thermode_locali_pic.stopped,discrimin_resp.stopped,percu_or.stopped,responser.stopped,triggerrrs.stopped,dur_plateau1,dur_plateau2,dur_plateau1_sent,dur_plateau2_sent,start_plateau_2_resp,start_detect_cue,dur_pic,dur_rise,temp_plateau_sent,loca_thermode,pic_sent,quest_intens,pic_response,discrimin_resp.keys,discrimin_resp.rt,discrimin_resp.duration,Cali_fin.started,text.started,text.stopped,Cali_fin.stopped,mean_6_reversals,pic_a_utiliser,threshold,participant,com_thermode,temp_plateau,date,expName,psychopyVersion,frameRate,expStart,
20,0,20,0,520.8425105999922,,,,520.8267422000063,525.8258669999777,525.8258721999591,525.8426013999851,533.8259572999668,533.8259572999668,533.8259572999668,536.0426585999667,536.8260157000041,536.8260157000041,536.8260157000041,536.8093879999942,4.65,4.15,465,415,8,3,1.2,0.75,466,0,475,0.8999999999999999,1,m,0.48369899997487664,None,,,,,,,,sub-080,COM3,46.6,2026-05-25_10h31.33.021,2024_RDpaindiscrimination_QUEST,2023.2.3,59.99754011006313,2026-05-25 10h31.41.895090 -0400,
21,0,21,0,536.8260157000041,,,,536.8104564999812,541.8094448999618,541.8094496999984,541.8261124999844,549.8094898000127,549.8094898000127,549.8094898000127,552.0261752000079,552.8095343000023,552.8095343000023,552.8095343000023,552.7928939000121,3.51,5.29,351,529,8,3,1.2,0.75,466,1,475,0.8999999999999999,1,m,0.36005109996767715,None,,,,,,,,sub-080,COM3,46.6,2026-05-25_10h31.33.021,2024_RDpaindiscrimination_QUEST,2023.2.3,59.99754011006313,2026-05-25 10h31.41.895090 -0400,
22,0,22,0,552.8095343000023,,,,552.7938077999861,557.7929280999815,557.7929329999606,557.8095271000057,565.7929877999704,565.7929877999704,565.7929877999704,568.009666399972,568.7929714999627,568.7929714999627,568.7929714999627,568.7764289999614,4.51,4.29,451,429,8,3,1.2,0.75,466,2,474,0.7999999999999999,1,m,0.4566708999918774,None,,,,,,,,sub-080,COM3,46.6,2026-05-25_10h31.33.021,2024_RDpaindiscrimination_QUEST,2023.2.3,59.99754011006313,2026-05-25 10h31.41.895090 -0400,
23,0,23,0,568.7929714999627,,,,568.7773134000017,573.7764450999675,573.7764499000041,573.7931309000123,581.7764660000103,581.7764660000103,581.7764660000103,583.9931654999964,584.7765285999631,584.7765285999631,584.7765285999631,584.7599185999716,4.61,4.19,461,419,8,3,1.2,0.75,466,3,474,0.7999999999999999,0,n,0.3969747999799438,None,,,,,,,,sub-080,COM3,46.6,2026-05-25_10h31.33.021,2024_RDpaindiscrimination_QUEST,2023.2.3,59.99754011006313,2026-05-25 10h31.41.895090 -0400,
24,0,24,0,584.7765285999631,,,,584.7608478000038,589.7599532000022,589.7599581999821,589.7766221999773,597.7599927000119,597.7599927000119,597.7599927000119,599.9766090000048,600.7599806999788,600.7599806999788,600.7599806999788,600.7434247999918,3.41,5.39,341,539,8,3,1.2,0.75,466,0,475,0.8999999999999999,0,n,0.5255221999832429,None,,,,,,,,sub-080,COM3,46.6,2026-05-25_10h31.33.021,2024_RDpaindiscrimination_QUEST,2023.2.3,59.99754011006313,2026-05-25 10h31.41.895090 -0400,
25,0,25,0,600.7599806999788,,,,600.7443262999877,605.7434125999571,605.7434176999959,605.7600791999721,613.7434438999626,613.7434438999626,613.7434438999626,615.9601032999926,616.7434799000039,616.7434799000039,616.7434799000039,616.7269058999955,3.5,5.3,350,530,8,3,1.2,0.75,466,1,476,0.9999999999999999,1,m,0.7300391999888234,None,,,,,,,,sub-080,COM3,46.6,2026-05-25_10h31.33.021,2024_RDpaindiscrimination_QUEST,2023.2.3,59.99754011006313,2026-05-25 10h31.41.895090 -0400,
26,0,26,0,616.7434799000039,,,,616.7278185999603,621.7269137999974,621.7269187999773,621.7435772999888,629.7269845000119,629.7269845000119,629.7269845000119,631.9436754999915,632.727052000002,632.727052000002,632.727052000002,632.7104043000145,4.55,4.25,455,425,8,3,1.2,0.75,466,2,476,0.9999999999999999,1,m,0.4424857000121847,None,,,,,,,,sub-080,COM3,46.6,2026-05-25_10h31.33.021,2024_RDpaindiscrimination_QUEST,2023.2.3,59.99754011006313,2026-05-25 10h31.41.895090 -0400,
27,0,27,0,632.727052000002,,,,632.7113171999808,637.7104594999691,637.7104643000057,637.7271451000124,645.7105024000048,645.7105024000048,645.7105024000048,647.9271985999658,648.7105369999772,648.7105369999772,648.7105369999772,648.6939300000085,4.09,4.71,409,471,8,3,1.2,0.75,466,3,475,0.8999999999999999,0,n,0.45496709999861196,None,,,,,,,,sub-080,COM3,46.6,2026-05-25_10h31.33.021,2024_RDpaindiscrimination_QUEST,2023.2.3,59.99754011006313,2026-05-25 10h31.41.895090 -0400,
28,0,28,0,648.7105369999772,,,,648.6948428999749,653.6938845000113,653.6938896999927,653.7105369999772,661.6940178999794,661.6940178999794,661.6940178999794,663.9106976999901,664.6940527000115,664.6940527000115,664.6940527000115,664.6774447999778,4.04,4.76,404,476,8,3,1.2,0.75,466,0,476,0.9999999999999999,1,m,0.41541070002131164,None,,,,,,,,sub-080,COM3,46.6,2026-05-25_10h31.33.021,2024_RDpaindiscrimination_QUEST,2023.2.3,59.99754011006313,2026-05-25 10h31.41.895090 -0400,
29,0,29,0,664.6940527000115,,,,664.6783765999717,669.6774843999883,669.6774894999689,669.6941063000122,677.6774045999628,677.6774045999628,677.6774045999628,679.8941247999901,680.6774638000061,680.6774638000061,680.6774638000061,680.6608638999751,4.5,4.3,450,430,8,3,1.2,0.75,466,1,476,0.9999999999999999,1,m,0.7080491000087932,None,,,,,,,,sub-080,COM3,46.6,2026-05-25_10h31.33.021,2024_RDpaindiscrimination_QUEST,2023.2.3,59.99754011006313,2026-05-25 10h31.41.895090 -0400,
30,0,30,0,680.6774638000061,,,,680.6617810999742,685.6608912000083,685.6608959999867,685.6776156999986,693.661048799986,693.661048799986,693.661048799986,695.8776711999672,696.6610627999762,696.6610627999762,696.6610627999762,696.6444608999882,3.88,4.92,388,492,8,3,1.2,0.75,466,2,475,0.8999999999999999,0,n,0.4523699000128545,None,,,,,,,,sub-080,COM3,46.6,2026-05-25_10h31.33.021,2024_RDpaindiscrimination_QUEST,2023.2.3,59.99754011006313,2026-05-25 10h31.41.895090 -0400,
31,0,31,0,696.6610627999762,,,,696.6453459999757,701.6444871000131,701.6444922999945,701.6611239999766,709.6445386999985,709.6445386999985,709.6445386999985,711.8611357999616,712.6444695999962,712.6444695999962,712.6444695999962,712.6278689999599,3.75,5.05,375,505,8,3,1.2,0.75,466,3,476,0.9999999999999999,0,n,0.6328964999993332,None,,,,,,,,sub-080,COM3,46.6,2026-05-25_10h31.33.021,2024_RDpaindiscrimination_QUEST,2023.2.3,59.99754011006313,2026-05-25 10h31.41.895090 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712.6286989999935,712.6444695999962,718.744616299984,718.6280103999889,0.9166666666666666,47.516666666666666,1.014665360146368,,,,,,,,,
